target	date	time	rank	keyword	urls
01-1	2020-03-03	08:21:38	01	나대한	https://search.naver.com/search.naver?where=nexearch&query=%EB%82%98%EB%8C%80%ED%95%9C	
01-1	2020-03-03	08:21:38	02	청덕동	https://search.naver.com/search.naver?where=nexearch&query=%EC%B2%AD%EB%8D%95%EB%8F%99	
01-1	2020-03-03	08:21:38	03	나대한 여자친구	https://search.naver.com/search.naver?where=nexearch&query=%EB%82%98%EB%8C%80%ED%95%9C%20%EC%97%AC%EC%9E%90%EC%B9%9C%EA%B5%AC	
01-1	2020-03-03	08:21:38	04	아무도 모른다	https://search.naver.com/search.naver?where=nexearch&query=%EC%95%84%EB%AC%B4%EB%8F%84%20%EB%AA%A8%EB%A5%B8%EB%8B%A4	
01-1	2020-03-03	08:21:38	05	정신연령 테스트	https://search.naver.com/search.naver?where=nexearch&query=%EC%A0%95%EC%8B%A0%EC%97%B0%EB%A0%B9%20%ED%85%8C%EC%8A%A4%ED%8A%B8	
01-1	2020-03-03	08:21:38	06	이만희 시계	https://search.naver.com/search.naver?where=nexearch&query=%EC%9D%B4%EB%A7%8C%ED%9D%AC%20%EC%8B%9C%EA%B3%84	
01-1	2020-03-03	08:21:38	07	이만희 눈동자	https://search.naver.com/search.naver?where=nexearch&query=%EC%9D%B4%EB%A7%8C%ED%9D%AC%20%EB%88%88%EB%8F%99%EC%9E%90	
01-1	2020-03-03	08:21:38	08	박근혜 시계	https://search.naver.com/search.naver?where=nexearch&query=%EB%B0%95%EA%B7%BC%ED%98%9C%20%EC%8B%9C%EA%B3%84	
01-1	2020-03-03	08:21:38	09	이만희 기자회견	https://search.naver.com/search.naver?where=nexearch&query=%EC%9D%B4%EB%A7%8C%ED%9D%AC%20%EA%B8%B0%EC%9E%90%ED%9A%8C%EA%B2%AC	
01-1	2020-03-03	08:21:38	10	배현진	https://search.naver.com/search.naver?where=nexearch&query=%EB%B0%B0%ED%98%84%EC%A7%84	
01-1	2020-03-03	08:21:38	11	어린이집 휴원	https://search.naver.com/search.naver?where=nexearch&query=%EC%96%B4%EB%A6%B0%EC%9D%B4%EC%A7%91%20%ED%9C%B4%EC%9B%90	
