target	date	time	rank	urls	keyword
03	2020-01-27	00:43:26	1	https://www.youtube.com/watch?v=3KKC-YIZ2Vw	젓가락질 하는 유형ㅋㅋㅋ(feat.초대왕 젓가락)
03	2020-01-27	00:43:26	2	https://www.youtube.com/watch?v=j5BA8pztkNo	인류가 기계에게 지배당할 날이 얼마 안 남은 것 같습니다 - 드론 메타플라이 - 겜브링(GGAMBRING)
03	2020-01-27	00:43:26	3	https://www.youtube.com/watch?v=FvEs2zM_zcs	숨김없이 유튜브수익+ 재산 +차 +집 전체공개합니다 불법 토토,부동산 사기?! 모든루머 해명하겠습니다 억울합니다
03	2020-01-27	00:43:26	4	https://www.youtube.com/watch?v=cUB5wsRL29o	침대에 다른 여자랑 누워있을 때 민영이 반응보기ㅋㅋㅋ
03	2020-01-27	00:43:26	5	https://www.youtube.com/watch?v=Sipbm_Yb0mo	흔한남매 아이큐 공개ㅋㅋ 브레인 아웃 박살내기ㅋㅋㅋ(흔한남매 )
03	2020-01-27	00:43:26	6	https://www.youtube.com/watch?v=mtJVsPdPiy8	[19/20 잉글랜드 FA컵] 사우스햄튼 vs 토트넘 H/L
03	2020-01-27	00:43:26	7	https://www.youtube.com/watch?v=ZpvD9sjAxqg	귀성길  드립 맛집 여기  맞🐂? 전국 팔도 저세상 텐션 피플 다 모인 횡성 휴게소 알바  리뷰 (라고 쓰고 먹방이라 읽는다)ㅣ워크맨 ep.37
03	2020-01-27	00:43:26	8	https://www.youtube.com/watch?v=LuKhuNLWq3w	[KBS 뉴스특보 다시보기] ‘신종 코로나 바이러스’ 세 번째 확진자 발생 (26일 11:58~)
03	2020-01-27	00:43:26	9	https://www.youtube.com/watch?v=8f-N_Hf1ULs	너 중국말 할 줄 아니? 극한직업 웃긴장면 모음 2부 [뭅뭅픽] 극한직업 | Extreme Job | 웃긴영화
03	2020-01-27	00:43:26	10	https://www.youtube.com/watch?v=eRTxwI-0OV4	우한 폐렴을 예언한 영화, 실화가 되어 가는 중
03	2020-01-27	00:43:26	11	https://www.youtube.com/watch?v=1IpRVGJLjls	[글로벌 나우] '우한 폐렴' 봉쇄령 확대
03	2020-01-27	00:43:26	12	https://www.youtube.com/watch?v=vPpdT5ZW9O4	10덕들의 대화 - 귀멸의칼날
03	2020-01-27	00:43:26	13	https://www.youtube.com/watch?v=dhQOKV6uLBM	[인터뷰] '봉쇄 도시' 탈출 작전…우한 유학생이 전한 현지 상황 (2020.01.25 / JTBC 뉴스룸)
03	2020-01-27	00:43:26	14	https://www.youtube.com/watch?v=2cXYtA7xjdY	'감찰 카드' 꺼내 든 추미애, 최강욱 기소 놓고 '충돌'
03	2020-01-27	00:43:26	15	https://www.youtube.com/watch?v=MDMi2LnWEXw	한국 유망주 상대로 10골 먹은 크팰 코치가 경기 후 보인 놀라운 반응...l 신의 한 수 : 신태용의 방과 후 트릭 l  EP.28 l  슛포러브
03	2020-01-27	00:43:26	16	https://www.youtube.com/watch?v=miyZz6Abf5g	분열인가, 확장인가? 전광훈 김문수 추진 '선명우파정당'에 대한 소감
03	2020-01-27	00:43:26	17	https://www.youtube.com/watch?v=wzyZ35DIHz0	총몇명의 사연낭독 몰아보기 [설날특집]
03	2020-01-27	00:43:26	18	https://www.youtube.com/watch?v=7Mf2k_3gDis	'우한 폐렴' 1천 명 넘었다…전쟁에 준하는 '비상' (2020.01.25/뉴스데스크/MBC)
03	2020-01-27	00:43:26	19	https://www.youtube.com/watch?v=26_vmbmfWyY	한마리 90만원짜리 거대 다금바리, 진짜인지 알아봤습니다.
03	2020-01-27	00:43:26	20	https://www.youtube.com/watch?v=rltWUr5HHi4	하면 할수록 부끄러워지는 게임
