target	date	time	rank	keyword
02	2020-01-26	00:37:27	1	뺑반
02	2020-01-26	00:37:27	2	롱 리브 더 킹
02	2020-01-26	00:37:27	3	악인전
02	2020-01-26	00:37:27	4	설 연휴 편성표
02	2020-01-26	00:37:27	5	수상한 그녀
02	2020-01-26	00:37:27	6	토트넘
02	2020-01-26	00:37:27	7	김성규
02	2020-01-26	00:37:27	8	홍현희
02	2020-01-26	00:37:27	9	송가인
02	2020-01-26	00:37:27	10	사우스햄튼
02	2020-01-26	00:38:26	1	뺑반
02	2020-01-26	00:38:26	2	롱 리브 더 킹
02	2020-01-26	00:38:26	3	악인전
02	2020-01-26	00:38:26	4	설 연휴 편성표
02	2020-01-26	00:38:26	5	수상한 그녀
02	2020-01-26	00:38:26	6	김성규
02	2020-01-26	00:38:26	7	토트넘
02	2020-01-26	00:38:26	8	송가인
02	2020-01-26	00:38:26	9	홍현희
02	2020-01-26	00:38:26	10	사우스햄튼
02	2020-01-26	00:40:30	1	뺑반
02	2020-01-26	00:40:30	2	롱 리브 더 킹
02	2020-01-26	00:40:30	3	악인전
02	2020-01-26	00:40:30	4	설 연휴 편성표
02	2020-01-26	00:40:30	5	수상한 그녀
02	2020-01-26	00:40:30	6	토트넘
02	2020-01-26	00:40:30	7	김성규
02	2020-01-26	00:40:30	8	송가인
02	2020-01-26	00:40:30	9	홍현희
02	2020-01-26	00:40:30	10	사우스햄튼
02	2020-01-26	00:42:03	1	뺑반
02	2020-01-26	00:42:03	2	롱 리브 더 킹
02	2020-01-26	00:42:03	3	악인전
02	2020-01-26	00:42:03	4	수상한 그녀
02	2020-01-26	00:42:03	5	김성규
02	2020-01-26	00:42:03	6	홍현희
02	2020-01-26	00:42:03	7	토트넘
02	2020-01-26	00:42:03	8	송가인
02	2020-01-26	00:42:03	9	사우스햄튼
02	2020-01-26	00:42:03	10	원진아
02	2020-01-26	00:43:49	1	뺑반
02	2020-01-26	00:43:49	2	롱 리브 더 킹
02	2020-01-26	00:43:49	3	악인전
02	2020-01-26	00:43:49	4	수상한 그녀
02	2020-01-26	00:43:49	5	김성규
02	2020-01-26	00:43:49	6	토트넘
02	2020-01-26	00:43:49	7	송가인
02	2020-01-26	00:43:49	8	원진아
02	2020-01-26	00:43:49	9	홍현희
02	2020-01-26	00:43:49	10	사우스햄튼
02	2020-01-26	00:45:18	1	뺑반
02	2020-01-26	00:45:18	2	롱 리브 더 킹
02	2020-01-26	00:45:18	3	악인전
02	2020-01-26	00:45:18	4	수상한 그녀
02	2020-01-26	00:45:18	5	김성규
02	2020-01-26	00:45:18	6	송가인
02	2020-01-26	00:45:18	7	토트넘
02	2020-01-26	00:45:18	8	사우스햄튼
02	2020-01-26	00:45:18	9	원진아
02	2020-01-26	00:45:18	10	홍현희
02	2020-01-26	01:21:16	1	롱 리브 더 킹
02	2020-01-26	01:21:16	2	수상한 그녀
02	2020-01-26	01:21:16	3	원진아
02	2020-01-26	01:21:16	4	손흥민
02	2020-01-26	01:21:16	5	장혜진
02	2020-01-26	01:21:16	6	토트넘 사우스햄튼
02	2020-01-26	01:21:16	7	탕준상
02	2020-01-26	01:21:16	8	심은경
02	2020-01-26	01:21:16	9	fa컵
02	2020-01-26	01:21:16	10	895회 로또당첨번호
02	2020-01-26	01:45:11	1	뺑반
02	2020-01-26	01:45:11	2	손흥민 골
02	2020-01-26	01:45:11	3	수상한 그녀
02	2020-01-26	01:45:11	4	롱 리브 더 킹
02	2020-01-26	01:45:11	5	토트넘 사우스햄튼
02	2020-01-26	01:45:11	6	895회 로또당첨번호
02	2020-01-26	01:45:11	7	탕준상
02	2020-01-26	01:45:11	8	송가인
02	2020-01-26	01:45:11	9	조현
02	2020-01-26	01:45:11	10	장혜진
02	2020-01-26	02:45:11	1	손흥민 골
02	2020-01-26	02:45:11	2	뺑반
02	2020-01-26	02:45:11	3	토트넘 사우스햄튼
02	2020-01-26	02:45:11	4	이강인
02	2020-01-26	02:45:11	5	수상한 그녀
02	2020-01-26	02:45:11	6	895회 로또당첨번호
02	2020-01-26	02:45:11	7	송가인
02	2020-01-26	02:45:11	8	fa컵
02	2020-01-26	02:45:11	9	채리나
02	2020-01-26	02:45:11	10	발렌시아
02	2020-01-26	09:16:51	1	손흥민 골
02	2020-01-26	09:16:51	2	법륜스님
02	2020-01-26	09:16:51	3	895회 로또당첨번호
02	2020-01-26	09:16:51	4	논산 수제비 달인
02	2020-01-26	09:16:51	5	소이현
02	2020-01-26	09:16:51	6	조현
02	2020-01-26	09:16:51	7	이강인
02	2020-01-26	09:16:51	8	베이조스
02	2020-01-26	09:16:51	9	송가인
02	2020-01-26	09:16:51	10	이성민
02	2020-01-26	10:16:43	1	이어령
02	2020-01-26	10:16:43	2	조현
02	2020-01-26	10:16:43	3	895회 로또당첨번호
02	2020-01-26	10:16:43	4	송가인
02	2020-01-26	10:16:43	5	홍현희
02	2020-01-26	10:16:43	6	우한 폐렴
02	2020-01-26	10:16:43	7	법륜스님
02	2020-01-26	10:16:43	8	간택
02	2020-01-26	10:16:43	9	도경완
02	2020-01-26	10:16:43	10	앰배서더 호텔
02	2020-01-26	11:16:43	1	손흥민 골
02	2020-01-26	11:16:43	2	이어령
02	2020-01-26	11:16:43	3	설연휴 특선영화
02	2020-01-26	11:16:43	4	명지병원
02	2020-01-26	11:16:43	5	895회 로또당첨번호
02	2020-01-26	11:16:43	6	조현
02	2020-01-26	11:16:43	7	김한국
02	2020-01-26	11:16:43	8	김경희
02	2020-01-26	11:16:43	9	베티쿠퍼
02	2020-01-26	11:16:43	10	남상일
02	2020-01-26	12:16:43	1	명지병원
02	2020-01-26	12:16:43	2	킬링 디어
02	2020-01-26	12:16:43	3	설연휴 특선영화
02	2020-01-26	12:16:43	4	손흥민 골
02	2020-01-26	12:16:43	5	로또895회 당첨 번호
02	2020-01-26	12:16:43	6	조현
02	2020-01-26	12:16:43	7	더 랍스터
02	2020-01-26	12:16:43	8	법륜스님
02	2020-01-26	12:16:43	9	신종 코로나 바이러스
02	2020-01-26	12:16:43	10	이어령
02	2020-01-26	13:16:43	1	설연휴 특선영화
02	2020-01-26	13:16:43	2	손흥민 골
02	2020-01-26	13:16:43	3	명지병원
02	2020-01-26	13:16:43	4	신수지
02	2020-01-26	13:16:43	5	임수민
02	2020-01-26	13:16:43	6	이호섭
02	2020-01-26	13:16:43	7	크비토바
02	2020-01-26	13:16:43	8	조현
02	2020-01-26	13:16:43	9	895회 로또당첨번호
02	2020-01-26	13:16:43	10	집사부일체
02	2020-01-26	19:43:30	1	시간이탈자
02	2020-01-26	19:43:30	2	이미자
02	2020-01-26	19:43:30	3	남진
02	2020-01-26	19:43:30	4	최병철
02	2020-01-26	19:43:30	5	명지병원
02	2020-01-26	19:43:30	6	박세리
02	2020-01-26	19:43:30	7	동해 토바펜션
02	2020-01-26	19:43:30	8	이덕화
02	2020-01-26	19:43:30	9	법륜스님
02	2020-01-26	19:43:30	10	합정역 5번출구
02	2020-01-26	19:45:48	1	시간이탈자
02	2020-01-26	19:45:48	2	이미자
02	2020-01-26	19:45:48	3	남진
02	2020-01-26	19:45:48	4	최병철
02	2020-01-26	19:45:48	5	명지병원
02	2020-01-26	19:45:48	6	동해 토바펜션
02	2020-01-26	19:45:48	7	박세리
02	2020-01-26	19:45:48	8	이덕화
02	2020-01-26	19:45:48	9	합정역 5번출구
02	2020-01-26	19:45:48	10	법륜스님
02	2020-01-26	20:43:28	1	장충동 호텔 화재
02	2020-01-26	20:43:28	2	명지병원
02	2020-01-26	20:43:28	3	버블 시스터즈
02	2020-01-26	20:43:28	4	이상준
02	2020-01-26	20:43:28	5	박세리
02	2020-01-26	20:43:28	6	동해 토바펜션
02	2020-01-26	20:43:28	7	한국 사우디 결승
02	2020-01-26	20:43:28	8	복면가왕 아메리칸핫도그
02	2020-01-26	20:43:28	9	강현정
02	2020-01-26	20:43:28	10	코로나 바이러스 증상
02	2020-01-26	21:43:25	1	송가인
02	2020-01-26	21:43:25	2	극한직업
02	2020-01-26	21:43:25	3	명지병원
02	2020-01-26	21:43:25	4	김희철
02	2020-01-26	21:43:25	5	jtbc 온에어
02	2020-01-26	21:43:25	6	김영철
02	2020-01-26	21:43:25	7	법륜스님
02	2020-01-26	21:43:25	8	울산 태화강 까마귀
02	2020-01-26	21:43:25	9	한국 사우디 결승
02	2020-01-26	21:43:25	10	슈돌 눈썰매장
02	2020-01-26	22:43:25	1	송가인
02	2020-01-26	22:43:25	2	정우영
02	2020-01-26	22:43:25	3	김수철
02	2020-01-26	22:43:25	4	극한직업
02	2020-01-26	22:43:25	5	컨설턴트 박성민
02	2020-01-26	22:43:25	6	이성민
02	2020-01-26	22:43:25	7	명지병원
02	2020-01-26	22:43:25	8	사우디 아라비아
02	2020-01-26	22:43:25	9	이상민
02	2020-01-26	22:43:25	10	탁재훈
02	2020-01-26	23:43:25	1	성난황소
02	2020-01-26	23:43:25	2	내안의 그놈
02	2020-01-26	23:43:25	3	윤수일
02	2020-01-26	23:43:25	4	이성민
02	2020-01-26	23:43:25	5	레이프 가렛
02	2020-01-26	23:43:25	6	개리
02	2020-01-26	23:43:25	7	사우디 아라비아
02	2020-01-26	23:43:25	8	이하늬
02	2020-01-26	23:43:25	9	핑거게임
02	2020-01-26	23:43:25	10	현영민
