target	date	time	rank	keyword	urls
01	2020-01-27	23:56:34	0	길	https://search.naver.com/search.naver?where=nexearch&query=길
01	2020-01-27	23:56:34	1	리쌍 길 결혼	https://search.naver.com/search.naver?where=nexearch&query=리쌍 길 결혼
01	2020-01-27	23:56:34	2	길 결혼	https://search.naver.com/search.naver?where=nexearch&query=길 결혼
01	2020-01-27	23:56:34	3	길 음주운전	https://search.naver.com/search.naver?where=nexearch&query=길 음주운전
01	2020-01-27	23:56:34	4	코비 브라이언트	https://search.naver.com/search.naver?where=nexearch&query=코비 브라이언트
01	2020-01-27	23:56:34	5	아이콘택트	https://search.naver.com/search.naver?where=nexearch&query=아이콘택트
01	2020-01-27	23:56:34	6	안혜상	https://search.naver.com/search.naver?where=nexearch&query=안혜상
01	2020-01-27	23:56:34	7	원종건	https://search.naver.com/search.naver?where=nexearch&query=원종건
01	2020-01-27	23:56:34	8	가디언즈 오브 더 갤럭시2	https://search.naver.com/search.naver?where=nexearch&query=가디언즈 오브 더 갤럭시2
01	2020-01-27	23:56:34	9	용인 우한폐렴	https://search.naver.com/search.naver?where=nexearch&query=용인 우한폐렴
01	2020-01-27	23:56:34	10	가디언즈 오브 더 갤럭시	https://search.naver.com/search.naver?where=nexearch&query=가디언즈 오브 더 갤럭시
01	2020-01-27	23:56:34	11	마이진	https://search.naver.com/search.naver?where=nexearch&query=마이진
01	2020-01-27	23:56:34	12	이부진	https://search.naver.com/search.naver?where=nexearch&query=이부진
01	2020-01-27	23:56:34	13	조수진 변호사	https://search.naver.com/search.naver?where=nexearch&query=조수진 변호사
01	2020-01-27	23:56:34	14	박시은 나이	https://search.naver.com/search.naver?where=nexearch&query=박시은 나이
01	2020-01-27	23:56:34	15	원주 우한폐렴	https://search.naver.com/search.naver?where=nexearch&query=원주 우한폐렴
01	2020-01-27	23:56:34	16	남규택	https://search.naver.com/search.naver?where=nexearch&query=남규택
01	2020-01-27	23:56:34	17	이상화	https://search.naver.com/search.naver?where=nexearch&query=이상화
01	2020-01-27	23:56:34	18	가요무대	https://search.naver.com/search.naver?where=nexearch&query=가요무대
01	2020-01-27	23:56:34	19	걸캅스	https://search.naver.com/search.naver?where=nexearch&query=걸캅스
