target	date	time	rank	keyword
02	2020-01-27	00:43:26	1	미성년
02	2020-01-27	00:43:26	2	내안의 그놈
02	2020-01-27	00:43:26	3	정태욱
02	2020-01-27	00:43:26	4	성난황소
02	2020-01-27	00:43:26	5	pmc 더벙커
02	2020-01-27	00:43:26	6	원두재
02	2020-01-27	00:43:26	7	정우영
02	2020-01-27	00:43:26	8	박지성
02	2020-01-27	00:43:26	9	현영민
02	2020-01-27	00:43:26	10	김학범
02	2020-01-27	01:43:25	1	미성년
02	2020-01-27	01:43:25	2	내안의 그놈
02	2020-01-27	01:43:25	3	성난황소
02	2020-01-27	01:43:25	4	써니
02	2020-01-27	01:43:25	5	이성민
02	2020-01-27	01:43:25	6	원두재
02	2020-01-27	01:43:25	7	정태욱
02	2020-01-27	01:43:25	8	정우영
02	2020-01-27	01:43:25	9	진영
02	2020-01-27	01:43:25	10	마스크
02	2020-01-27	02:43:25	1	미성년
02	2020-01-27	02:43:25	2	이성민
02	2020-01-27	02:43:25	3	이태선
02	2020-01-27	02:43:25	4	소이현
02	2020-01-27	02:43:25	5	정태욱
02	2020-01-27	02:43:25	6	원두재
02	2020-01-27	02:43:25	7	정우영
02	2020-01-27	02:43:25	8	마스크
02	2020-01-27	02:43:25	9	내안의 그놈
02	2020-01-27	02:43:25	10	명지병원
02	2020-01-27	03:43:25	1	이성민
02	2020-01-27	03:43:25	2	미성년
02	2020-01-27	03:43:25	3	정우영
02	2020-01-27	03:43:25	4	부산 날씨
02	2020-01-27	03:43:25	5	정태욱
02	2020-01-27	03:43:25	6	마스크
02	2020-01-27	03:43:25	7	명지병원
02	2020-01-27	03:43:25	8	원두재
02	2020-01-27	03:43:25	9	핑거게임
02	2020-01-27	03:43:25	10	김소진
02	2020-01-27	04:43:25	1	이성민
02	2020-01-27	04:43:25	2	명지병원
02	2020-01-27	04:43:25	3	원두재
02	2020-01-27	04:43:25	4	슈루즈버리
02	2020-01-27	04:43:25	5	제주 날씨
02	2020-01-27	04:43:25	6	정우영
02	2020-01-27	04:43:25	7	기상청
02	2020-01-27	04:43:25	8	법륜스님
