target	date	time	rank	keyword
01	2020-01-26	00:37:27	1	악인전
01	2020-01-26	00:37:27	2	롱 리브 더 킹: 목포 영웅
01	2020-01-26	00:37:27	3	토트넘 사우스햄튼
01	2020-01-26	00:37:27	4	김성규
01	2020-01-26	00:37:27	5	수상한 그녀
01	2020-01-26	00:37:27	6	김무열
01	2020-01-26	00:37:27	7	우한 폐렴 치사율
01	2020-01-26	00:37:27	8	송가인
01	2020-01-26	00:37:27	9	원진아
01	2020-01-26	00:37:27	10	라이너스
01	2020-01-26	00:37:27	11	사바하 결말
01	2020-01-26	00:37:27	12	호주 우즈벡
01	2020-01-26	00:37:27	13	잉글랜드 fa컵
01	2020-01-26	00:37:27	14	홍현희
01	2020-01-26	00:37:27	15	김무열 윤승아
01	2020-01-26	00:37:27	16	사우스햄튼
01	2020-01-26	00:37:27	17	동해펜션가스폭발
01	2020-01-26	00:37:27	18	조현
01	2020-01-26	00:37:27	19	제이쓴
01	2020-01-26	00:37:27	20	씨름 체급
01	2020-01-26	00:38:26	1	악인전
01	2020-01-26	00:38:26	2	롱 리브 더 킹: 목포 영웅
01	2020-01-26	00:38:26	3	토트넘 사우스햄튼
01	2020-01-26	00:38:26	4	김성규
01	2020-01-26	00:38:26	5	수상한 그녀
01	2020-01-26	00:38:26	6	김무열
01	2020-01-26	00:38:26	7	우한 폐렴 치사율
01	2020-01-26	00:38:26	8	송가인
01	2020-01-26	00:38:26	9	원진아
01	2020-01-26	00:38:26	10	사바하 결말
01	2020-01-26	00:38:26	11	호주 우즈벡
01	2020-01-26	00:38:26	12	홍현희
01	2020-01-26	00:38:26	13	잉글랜드 fa컵
01	2020-01-26	00:38:26	14	사우스햄튼
01	2020-01-26	00:38:26	15	김무열 윤승아
01	2020-01-26	00:38:26	16	라이너스
01	2020-01-26	00:38:26	17	제이쓴
01	2020-01-26	00:38:26	18	동해펜션가스폭발
01	2020-01-26	00:38:26	19	조현
01	2020-01-26	00:38:26	20	씨름 체급
01	2020-01-26	00:40:30	1	악인전
01	2020-01-26	00:40:30	2	롱 리브 더 킹: 목포 영웅
01	2020-01-26	00:40:30	3	토트넘 사우스햄튼
01	2020-01-26	00:40:30	4	김성규
01	2020-01-26	00:40:30	5	수상한 그녀
01	2020-01-26	00:40:30	6	김무열
01	2020-01-26	00:40:30	7	우한 폐렴 치사율
01	2020-01-26	00:40:30	8	송가인
01	2020-01-26	00:40:30	9	원진아
01	2020-01-26	00:40:30	10	사바하 결말
01	2020-01-26	00:40:30	11	홍현희
01	2020-01-26	00:40:30	12	잉글랜드 fa컵
01	2020-01-26	00:40:30	13	호주 우즈벡
01	2020-01-26	00:40:30	14	사우스햄튼
01	2020-01-26	00:40:30	15	제이쓴
01	2020-01-26	00:40:30	16	김무열 윤승아
01	2020-01-26	00:40:30	17	동해펜션가스폭발
01	2020-01-26	00:40:30	18	조현
01	2020-01-26	00:40:30	19	넛지
01	2020-01-26	00:40:30	20	씨름 체급
01	2020-01-26	00:42:03	1	악인전
01	2020-01-26	00:42:03	2	롱 리브 더 킹: 목포 영웅
01	2020-01-26	00:42:03	3	토트넘 사우스햄튼
01	2020-01-26	00:42:03	4	김성규
01	2020-01-26	00:42:03	5	수상한 그녀
01	2020-01-26	00:42:03	6	김무열
01	2020-01-26	00:42:03	7	우한 폐렴 치사율
01	2020-01-26	00:42:03	8	송가인
01	2020-01-26	00:42:03	9	원진아
01	2020-01-26	00:42:03	10	홍현희
01	2020-01-26	00:42:03	11	사바하 결말
01	2020-01-26	00:42:03	12	잉글랜드 fa컵
01	2020-01-26	00:42:03	13	호주 우즈벡
01	2020-01-26	00:42:03	14	사우스햄튼
01	2020-01-26	00:42:03	15	제이쓴
01	2020-01-26	00:42:03	16	김무열 윤승아
01	2020-01-26	00:42:03	17	조현
01	2020-01-26	00:42:03	18	동해펜션가스폭발
01	2020-01-26	00:42:03	19	사바하 해석
01	2020-01-26	00:42:03	20	넛지
01	2020-01-26	00:43:49	1	악인전
01	2020-01-26	00:43:49	2	롱 리브 더 킹: 목포 영웅
01	2020-01-26	00:43:49	3	토트넘 사우스햄튼
01	2020-01-26	00:43:49	4	김성규
01	2020-01-26	00:43:49	5	수상한 그녀
01	2020-01-26	00:43:49	6	우한 폐렴 치사율
01	2020-01-26	00:43:49	7	김무열
01	2020-01-26	00:43:49	8	원진아
01	2020-01-26	00:43:49	9	송가인
01	2020-01-26	00:43:49	10	홍현희
01	2020-01-26	00:43:49	11	사바하 결말
01	2020-01-26	00:43:49	12	잉글랜드 fa컵
01	2020-01-26	00:43:49	13	사우스햄튼
01	2020-01-26	00:43:49	14	제이쓴
01	2020-01-26	00:43:49	15	호주 우즈벡
01	2020-01-26	00:43:49	16	김무열 윤승아
01	2020-01-26	00:43:49	17	조현
01	2020-01-26	00:43:49	18	동해펜션가스폭발
01	2020-01-26	00:43:49	19	사바하 해석
01	2020-01-26	00:43:49	20	넛지
01	2020-01-26	00:45:18	1	악인전
01	2020-01-26	00:45:18	2	롱 리브 더 킹: 목포 영웅
01	2020-01-26	00:45:18	3	토트넘 사우스햄튼
01	2020-01-26	00:45:18	4	김성규
01	2020-01-26	00:45:18	5	수상한 그녀
01	2020-01-26	00:45:18	6	우한 폐렴 치사율
01	2020-01-26	00:45:18	7	김무열
01	2020-01-26	00:45:18	8	원진아
01	2020-01-26	00:45:18	9	홍현희
01	2020-01-26	00:45:18	10	송가인
01	2020-01-26	00:45:18	11	사바하 결말
01	2020-01-26	00:45:18	12	잉글랜드 fa컵
01	2020-01-26	00:45:18	13	제이쓴
01	2020-01-26	00:45:18	14	사우스햄튼
01	2020-01-26	00:45:18	15	호주 우즈벡
01	2020-01-26	00:45:18	16	조현
01	2020-01-26	00:45:18	17	김무열 윤승아
01	2020-01-26	00:45:18	18	동해펜션가스폭발
01	2020-01-26	00:45:18	19	사바하 해석
01	2020-01-26	00:45:18	20	넛지
01	2020-01-26	01:21:16	1	뺑반
01	2020-01-26	01:21:16	2	롱 리브 더 킹: 목포 영웅
01	2020-01-26	01:21:16	3	토트넘 사우스햄튼
01	2020-01-26	01:21:16	4	수상한 그녀
01	2020-01-26	01:21:16	5	미옥
01	2020-01-26	01:21:16	6	제이쓴
01	2020-01-26	01:21:16	7	원진아
01	2020-01-26	01:21:16	8	우한 폐렴 치사율
01	2020-01-26	01:21:16	9	사우스햄튼
01	2020-01-26	01:21:16	10	홍현희
01	2020-01-26	01:21:16	11	잉글랜드 fa컵
01	2020-01-26	01:21:16	12	심은경
01	2020-01-26	01:21:16	13	김성규
01	2020-01-26	01:21:16	14	김래원
01	2020-01-26	01:21:16	15	킹스맨 골든서클
01	2020-01-26	01:21:16	16	정인선
01	2020-01-26	01:21:16	17	악인전 실화
01	2020-01-26	01:21:16	18	사바하 결말
01	2020-01-26	01:21:16	19	조현
01	2020-01-26	01:21:16	20	플랫폼
01	2020-01-26	01:45:11	1	뺑반
01	2020-01-26	01:45:11	2	토트넘 사우스햄튼
01	2020-01-26	01:45:11	3	롱 리브 더 킹: 목포 영웅
01	2020-01-26	01:45:11	4	수상한 그녀
01	2020-01-26	01:45:11	5	미옥
01	2020-01-26	01:45:11	6	우한 폐렴 치사율
01	2020-01-26	01:45:11	7	원진아
01	2020-01-26	01:45:11	8	탕준상
01	2020-01-26	01:45:11	9	플랫폼
01	2020-01-26	01:45:11	10	사우스햄튼
01	2020-01-26	01:45:11	11	가수 방미나이
01	2020-01-26	01:45:11	12	제이쓴
01	2020-01-26	01:45:11	13	잉글랜드 fa컵
01	2020-01-26	01:45:11	14	킹스맨 골든서클
01	2020-01-26	01:45:11	15	정인선
01	2020-01-26	01:45:11	16	김래원
01	2020-01-26	01:45:11	17	방미
01	2020-01-26	01:45:11	18	홍현희
01	2020-01-26	01:45:11	19	영화 미옥
01	2020-01-26	01:45:11	20	손흥민 골
01	2020-01-26	02:45:11	1	토트넘 사우스햄튼
01	2020-01-26	02:45:11	2	뺑반
01	2020-01-26	02:45:11	3	잉글랜드 fa컵
01	2020-01-26	02:45:11	4	발렌시아
01	2020-01-26	02:45:11	5	손흥민 골
01	2020-01-26	02:45:11	6	우한 폐렴 치사율
01	2020-01-26	02:45:11	7	이강인
01	2020-01-26	02:45:11	8	독전
01	2020-01-26	02:45:11	9	채리나
01	2020-01-26	02:45:11	10	토트넘
01	2020-01-26	02:45:11	11	킹스맨 골든서클
01	2020-01-26	02:45:11	12	언니네쌀롱
01	2020-01-26	02:45:11	13	류준열
01	2020-01-26	02:45:11	14	수상한 그녀
01	2020-01-26	02:45:11	15	미옥
01	2020-01-26	02:45:11	16	텔미썸딩
01	2020-01-26	02:45:11	17	청와대 국민청원
01	2020-01-26	02:45:11	18	한국 사우디
01	2020-01-26	02:45:11	19	조현
01	2020-01-26	02:45:11	20	손흥민 평점
01	2020-01-26	09:16:51	1	토트넘 사우스햄튼
01	2020-01-26	09:16:51	2	법륜스님
01	2020-01-26	09:16:51	3	손흥민 골
01	2020-01-26	09:16:51	4	설연휴 병원
01	2020-01-26	09:16:51	5	베이비 드라이버
01	2020-01-26	09:16:51	6	동해 가스폭발
01	2020-01-26	09:16:51	7	조현
01	2020-01-26	09:16:51	8	우한 폐렴 치사율
01	2020-01-26	09:16:51	9	전지적 참견 시점
01	2020-01-26	09:16:51	10	청와대 국민청원
01	2020-01-26	09:16:51	11	간택 - 여인들의 전쟁
01	2020-01-26	09:16:51	12	이영은
01	2020-01-26	09:16:51	13	이강인
01	2020-01-26	09:16:51	14	차가버섯효능
01	2020-01-26	09:16:51	15	코로나
