target	date	time	rank	keyword	urls
01	2020-01-28	00:36:32	1	코비 브라이언트	https://search.naver.com/search.naver?where=nexearch&query=코비 브라이언트
01	2020-01-28	00:36:32	2	박현빈	https://search.naver.com/search.naver?where=nexearch&query=박현빈
01	2020-01-28	00:36:32	3	길	https://search.naver.com/search.naver?where=nexearch&query=길
01	2020-01-28	00:36:32	4	진태현 나이	https://search.naver.com/search.naver?where=nexearch&query=진태현 나이
01	2020-01-28	00:36:32	5	이윤지 박현빈	https://search.naver.com/search.naver?where=nexearch&query=이윤지 박현빈
01	2020-01-28	00:36:32	6	원종건	https://search.naver.com/search.naver?where=nexearch&query=원종건
01	2020-01-28	00:36:32	7	극한직업 감독	https://search.naver.com/search.naver?where=nexearch&query=극한직업 감독
01	2020-01-28	00:36:32	8	우한 폐렴 용인	https://search.naver.com/search.naver?where=nexearch&query=우한 폐렴 용인
01	2020-01-28	00:36:32	9	길 결혼	https://search.naver.com/search.naver?where=nexearch&query=길 결혼
01	2020-01-28	00:36:32	10	박현빈 아내	https://search.naver.com/search.naver?where=nexearch&query=박현빈 아내
01	2020-01-28	00:36:32	11	이윤지	https://search.naver.com/search.naver?where=nexearch&query=이윤지
01	2020-01-28	00:36:32	12	가디언즈 오브 더 갤럭시2	https://search.naver.com/search.naver?where=nexearch&query=가디언즈 오브 더 갤럭시2
01	2020-01-28	00:36:32	13	이병헌 감독	https://search.naver.com/search.naver?where=nexearch&query=이병헌 감독
01	2020-01-28	00:36:32	14	이부진	https://search.naver.com/search.naver?where=nexearch&query=이부진
01	2020-01-28	00:36:32	15	이윤지 남편	https://search.naver.com/search.naver?where=nexearch&query=이윤지 남편
01	2020-01-28	00:36:32	16	아이콘택트	https://search.naver.com/search.naver?where=nexearch&query=아이콘택트
01	2020-01-28	00:36:32	17	부산 코로나	https://search.naver.com/search.naver?where=nexearch&query=부산 코로나
01	2020-01-28	00:36:32	18	동상이몽 시즌2 - 너는 내 운명	https://search.naver.com/search.naver?where=nexearch&query=동상이몽 시즌2 - 너는 내 운명
01	2020-01-28	00:36:32	19	원주 우한폐렴	https://search.naver.com/search.naver?where=nexearch&query=원주 우한폐렴
01	2020-01-28	00:36:32	20	다우지수	https://search.naver.com/search.naver?where=nexearch&query=다우지수
01	2020-01-28	00:43:26	1	코비 브라이언트	https://search.naver.com/search.naver?where=nexearch&query=코비 브라이언트
01	2020-01-28	00:43:26	2	박현빈	https://search.naver.com/search.naver?where=nexearch&query=박현빈
01	2020-01-28	00:43:26	3	길	https://search.naver.com/search.naver?where=nexearch&query=길
01	2020-01-28	00:43:26	4	진태현 나이	https://search.naver.com/search.naver?where=nexearch&query=진태현 나이
01	2020-01-28	00:43:26	5	이윤지 박현빈	https://search.naver.com/search.naver?where=nexearch&query=이윤지 박현빈
01	2020-01-28	00:43:26	6	원종건	https://search.naver.com/search.naver?where=nexearch&query=원종건
