target	date	time	rank	keyword	urls
03	2020-01-27	23:56:34	0	Lil Nas X & Billy Ray Cyrus, BTS, Mason Ramsey, Diplo, Young Thug & Nas–Old Town Road & Rodeo (LIVE)	https://www.youtube.com/watch?v=drojmpUCC2M
03	2020-01-27	23:56:34	1	[KBS 뉴스특보 다시보기] ‘신종 코로나바이러스’ 국내 4번째 확진 환자 발생 (27일 12:00~)	https://www.youtube.com/watch?v=9pGgBEkJubY
03	2020-01-27	23:56:34	2	반전이 있는 극한직업 웃긴장면 모음 3부 [뭅뭅픽] 극한직업 | Extreme Job | 웃긴영화	https://www.youtube.com/watch?v=NiO7GzEDlQM
03	2020-01-27	23:56:34	3	"진짜 불이야!!🔥도망가!" ※실제상황ㄷㄷ유튜버들끼리 촬영하는데 불나서 주민들 대피하고 난리난 썰	https://www.youtube.com/watch?v=hzsEFB4fLqY
03	2020-01-27	23:56:34	4	[에포크픽]우한 폐렴 현지 의료진 "감염자 최소 9만" .. 인재 가능성 제기돼	https://www.youtube.com/watch?v=fC45OwM6Vj4
03	2020-01-27	23:56:34	5	[긴급체크]우한폐렴(신종코로나바이러스감염증)	https://www.youtube.com/watch?v=RJDroTVhP3c
03	2020-01-27	23:56:34	6	야시장 먹방중 옆사람이 자기 우한사람이라고 합니다..하...	https://www.youtube.com/watch?v=9L1g8lyC5i8
03	2020-01-27	23:56:34	7	숨김없이 유튜브수익+ 재산 +차 +집 전체공개합니다 불법 토토,부동산 사기?! 모든루머 해명하겠습니다 억울합니다	https://www.youtube.com/watch?v=FvEs2zM_zcs
03	2020-01-27	23:56:34	8	젓가락질 하는 유형ㅋㅋㅋ(feat.초대왕 젓가락)	https://www.youtube.com/watch?v=3KKC-YIZ2Vw
03	2020-01-27	23:56:34	9	中 '신종코로나' 확진자 2천500명 육박…우한 탈출 행렬 / 연합뉴스TV (YonhapnewsTV)	https://www.youtube.com/watch?v=JPw-7zlXuhU
03	2020-01-27	23:56:34	10	【 탬탬버린 】 - 계속되는 공개처형...	https://www.youtube.com/watch?v=mj1nfnuEQSs
03	2020-01-27	23:56:34	11	인류멸망급 바이러스가 퍼지자 대도시에 벽을 세워 감염자들을 영원히 격리시켜버린 정부	https://www.youtube.com/watch?v=ZfnfMSQ6ZvQ
03	2020-01-27	23:56:34	12	인류가 기계에게 지배당할 날이 얼마 안 남은 것 같습니다 - 드론 메타플라이 - 겜브링(GGAMBRING)	https://www.youtube.com/watch?v=j5BA8pztkNo
