target	date	time	rank	keyword	urls
02			01	장민호	https://search.daum.net/search?w=tot&q=장민호
02			02	이찬원	https://search.daum.net/search?w=tot&q=이찬원
02			03	최정훈	https://search.daum.net/search?w=tot&q=최정훈
02			04	너를 만났다	https://search.daum.net/search?w=tot&q=너를 만났다
02			05	이창용	https://search.daum.net/search?w=tot&q=이창용
02			06	김수찬	https://search.daum.net/search?w=tot&q=김수찬
02			07	심진화	https://search.daum.net/search?w=tot&q=심진화
02			08	안성훈	https://search.daum.net/search?w=tot&q=안성훈
02			09	박솔미	https://search.daum.net/search?w=tot&q=박솔미
02			10	장윤정	https://search.daum.net/search?w=tot&q=장윤정
01			01	노지훈	https://search.naver.com/search.naver?where=nexearch&query=노지훈
01			02	고재근	https://search.naver.com/search.naver?where=nexearch&query=고재근
01			03	최정훈	https://search.naver.com/search.naver?where=nexearch&query=최정훈
01			04	mbc 너를 만났다	https://search.naver.com/search.naver?where=nexearch&query=mbc 너를 만났다
01			05	김수찬	https://search.naver.com/search.naver?where=nexearch&query=김수찬
01			06	연어병치	https://search.naver.com/search.naver?where=nexearch&query=연어병치
01			07	이창용	https://search.naver.com/search.naver?where=nexearch&query=이창용
01			08	장민호	https://search.naver.com/search.naver?where=nexearch&query=장민호
01			09	김정수	https://search.naver.com/search.naver?where=nexearch&query=김정수
01			10	이은하	https://search.naver.com/search.naver?where=nexearch&query=이은하
01			11	이은하 나이	https://search.naver.com/search.naver?where=nexearch&query=이은하 나이
01			12	도끼	https://search.naver.com/search.naver?where=nexearch&query=도끼
01			13	심진화	https://search.naver.com/search.naver?where=nexearch&query=심진화
01			14	박솔미	https://search.naver.com/search.naver?where=nexearch&query=박솔미
01			15	맛남의 광장 나은	https://search.naver.com/search.naver?where=nexearch&query=맛남의 광장 나은
01			16	미스터트롯 고재근	https://search.naver.com/search.naver?where=nexearch&query=미스터트롯 고재근
01			17	마약왕	https://search.naver.com/search.naver?where=nexearch&query=마약왕
01			18	나연이 엄마 블로그	https://search.naver.com/search.naver?where=nexearch&query=나연이 엄마 블로그
01			19	23번째 확진자	https://search.naver.com/search.naver?where=nexearch&query=23번째 확진자
01			20	김정호	https://search.naver.com/search.naver?where=nexearch&query=김정호
03			01	[19/20 잉글랜드FA컵] 토트넘 vs 사우스햄튼 H/L	https://www.youtube.com/watch?v=vjs0VVMw8AA
03			02	필독) 트렌디하게 불륜남녀 조지는 법 [엑스엑스(XX)] - EP.03	https://www.youtube.com/watch?v=mvGXpHeav4c
03			03	손흥민 흘리는 트래핑 PK 유도에 직접 키커까지. 또또 4경기 연속골 [토트넘vs사우스햄튼 후토크]	https://www.youtube.com/watch?v=ZJAZ9Nr7uA8
03			04	[스튜디오 장삐쭈] 레바 속 사정	https://www.youtube.com/watch?v=jaj2ME1eAac
03			05	주방 세제에 밥 말아먹는 할머니의 위험한 레시피┃Grandma’s Dangerous Recipe Using Dishwashing Liquid	https://www.youtube.com/watch?v=DtJQIbc74LQ
03			06	부락토스의 부활 2  - 놈의 계략 [총몇명 스토리]	https://www.youtube.com/watch?v=14LDVi9YUYA
03			07	＂사장님은 말끝마다 다 핑계야!＂ 홍제동 팥칼국수집 돌고도는 핑계..말말말 모음 2탄 [예능맛ZIP/ 골목식당_BackStreet]	https://www.youtube.com/watch?v=8VtKvuSpYmA
03			08	총체적 난국, 프렌치 불독 레오 2부｜내 강아지의 공격성 The aggression of my dog	https://www.youtube.com/watch?v=qkubn3xtAe4
03			09	정말...신이 이렇게 생겼다고?	https://www.youtube.com/watch?v=97gL98qMJDk
03			10	리포지드 영상 대본 유출하신 분, 즉각 삭제 하시기 바랍니다.	https://www.youtube.com/watch?v=X3QIOmRStA8
