target	date	time	rank	keyword	urls
02	2020-02-05	00:00:24	01	강용석	https://search.daum.net/search?w=tot&q=강용석
02	2020-02-05	00:00:24	02	이도진	https://search.daum.net/search?w=tot&q=이도진
02	2020-02-05	00:00:24	03	정유미	https://search.daum.net/search?w=tot&q=정유미
02	2020-02-05	00:00:24	04	남경읍	https://search.daum.net/search?w=tot&q=남경읍
02	2020-02-05	00:00:24	05	16번째 코로나 환자	https://search.daum.net/search?w=tot&q=16번째 코로나 환자
02	2020-02-05	00:00:24	06	강타	https://search.daum.net/search?w=tot&q=강타
02	2020-02-05	00:00:24	07	기성용	https://search.daum.net/search?w=tot&q=기성용
02	2020-02-05	00:00:24	08	임도형	https://search.daum.net/search?w=tot&q=임도형
02	2020-02-05	00:00:24	09	김연견	https://search.daum.net/search?w=tot&q=김연견
02	2020-02-05	00:00:24	10	양세종	https://search.daum.net/search?w=tot&q=양세종
01	2020-02-05	00:00:24	01	정유미	https://search.naver.com/search.naver?where=nexearch&query=정유미
01	2020-02-05	00:00:24	02	강용석	https://search.naver.com/search.naver?where=nexearch&query=강용석
01	2020-02-05	00:00:24	03	강타	https://search.naver.com/search.naver?where=nexearch&query=강타
01	2020-02-05	00:00:24	04	16번째 확진자	https://search.naver.com/search.naver?where=nexearch&query=16번째 확진자
01	2020-02-05	00:00:24	05	16번째 확진자 동선	https://search.naver.com/search.naver?where=nexearch&query=16번째 확진자 동선
01	2020-02-05	00:00:24	06	낭만닥터 김사부2 양세종	https://search.naver.com/search.naver?where=nexearch&query=낭만닥터 김사부2 양세종
01	2020-02-05	00:00:24	07	양세종	https://search.naver.com/search.naver?where=nexearch&query=양세종
01	2020-02-05	00:00:24	08	낭만닥터 김사부2 ost	https://search.naver.com/search.naver?where=nexearch&query=낭만닥터 김사부2 ost
01	2020-02-05	00:00:24	09	이도진	https://search.naver.com/search.naver?where=nexearch&query=이도진
01	2020-02-05	00:00:24	10	이상이	https://search.naver.com/search.naver?where=nexearch&query=이상이
01	2020-02-05	00:00:24	11	pd수첩	https://search.naver.com/search.naver?where=nexearch&query=pd수첩
01	2020-02-05	00:00:24	12	강타 정유미	https://search.naver.com/search.naver?where=nexearch&query=강타 정유미
01	2020-02-05	00:00:24	13	조영수	https://search.naver.com/search.naver?where=nexearch&query=조영수
01	2020-02-05	00:00:24	14	펭수 인형	https://search.naver.com/search.naver?where=nexearch&query=펭수 인형
01	2020-02-05	00:00:24	15	김찬우나이	https://search.naver.com/search.naver?where=nexearch&query=김찬우나이
01	2020-02-05	00:00:24	16	재재	https://search.naver.com/search.naver?where=nexearch&query=재재
01	2020-02-05	00:00:24	17	박동빈	https://search.naver.com/search.naver?where=nexearch&query=박동빈
01	2020-02-05	00:00:24	18	기성용	https://search.naver.com/search.naver?where=nexearch&query=기성용
01	2020-02-05	00:00:24	19	김연견	https://search.naver.com/search.naver?where=nexearch&query=김연견
01	2020-02-05	00:00:24	20	미스터트롯 이도진	https://search.naver.com/search.naver?where=nexearch&query=미스터트롯 이도진
03	2020-02-05	00:00:24	01	총체적 난국, 프렌치 불독 레오 2부｜내 강아지의 공격성 The aggression of my dog	https://www.youtube.com/watch?v=qkubn3xtAe4
03	2020-02-05	00:00:24	02	손흥민 '맨시티 격파 골'을 본 무리뉴의 반응 ㄷㄷ (Ft. 베르흐베인, 요리스, 스털링)	https://www.youtube.com/watch?v=ydnyGCfsjjs
03	2020-02-05	00:00:24	03	3경기 연속골! 손흥민 맨시티전 활약상 #SPORTSTIME	https://www.youtube.com/watch?v=nsSEKx8PfMI
03	2020-02-05	00:00:24	04	[19/20 PL 25R] 토트넘 vs 맨시티 H/L	https://www.youtube.com/watch?v=OSRjPXJAXk0
03	2020-02-05	00:00:24	05	[EP.88]알바가 얼마나 중요한지 알려드리겠습니다.(에필로그 있어요!!)	https://www.youtube.com/watch?v=UtruofRDBGU
